야	ᄋ ᅣ
없이	ᄋ ᅥ ᆸ ᄊ ᅵ
니	ᄂ ᅵ
맘대로	ᄆ ᅡ ᆷ ᄃ ᅢ ᄅ ᅩ
입으면	ᄋ ᅵ ᄇ ᅳ ᄆ ᅧ ᆫ
어떡해	ᄋ ᅥ ᄄ ᅥ ᄏ ᅢ
됐다	ᄃ ᅫ ᆮ ᄄ ᅡ
됐어	ᄃ ᅫ ᄊ ᅥ
나도	ᄂ ᅡ ᄃ ᅩ
이제	ᄋ ᅵ ᄌ ᅦ
치사해서	ᄎ ᅵ ᄉ ᅡ ᄒ ᅢ ᄉ ᅥ
안	ᄋ ᅡ ᆫ
입는다	ᄋ ᅵ ᆷ ᄂ ᅳ ᆫ ᄃ ᅡ
너	ᄂ ᅥ
이번	ᄋ ᅵ ᄇ ᅥ ᆫ
주에	ᄌ ᅮ ᄋ ᅦ
운동	ᄋ ᅮ ᆫ ᄃ ᅩ ᆼ
번도	ᄇ ᅥ ᆫ ᄃ ᅩ
나왔더라	ᄂ ᅡ ᄋ ᅪ ᆮ ᄄ ᅥ ᄅ ᅡ
주는	ᄌ ᅮ ᄂ ᅳ ᆫ
아무래도	ᄋ ᅡ ᄆ ᅮ ᄅ ᅢ ᄃ ᅩ
갈	ᄀ ᅡ ᆯ
같아	ᄀ ᅡ ᄐ ᅡ
시험기간이라서	ᄉ ᅵ ᄒ ᅥ ᆷ ᄀ ᅵ ᄀ ᅡ ᄂ ᅵ ᄅ ᅡ ᄉ ᅥ
피곤해	ᄑ ᅵ ᄀ ᅩ ᆫ ᄒ ᅢ
올	ᄋ ᅩ ᆯ
공부	ᄀ ᅩ ᆼ ᄇ ᅮ
빡세게	ᄈ ᅡ ᆨ ᄊ ᅦ ᄀ ᅦ
하나	ᄒ ᅡ ᄂ ᅡ
보다	ᄇ ᅩ ᄃ ᅡ
언제부터	ᄋ ᅥ ᆫ ᄌ ᅦ ᄇ ᅮ ᄐ ᅥ
공부를	ᄀ ᅩ ᆼ ᄇ ᅮ ᄅ ᅳ ᆯ
그렇게	ᄀ ᅳ ᄅ ᅥ ᄏ ᅦ
열심히	ᄋ ᅧ ᆯ ᄉ ᅵ ᆷ ᄒ ᅵ
했냐	ᄒ ᅢ ᆫ ᄂ ᅣ
평소에	ᄑ ᅧ ᆼ ᄉ ᅩ ᄋ ᅦ
놀아서	ᄂ ᅩ ᄅ ᅡ ᄉ ᅥ
그렇지	ᄀ ᅳ ᄅ ᅥ ᄎ ᅵ
그래도	ᄀ ᅳ ᄅ ᅢ ᄃ ᅩ
시험기간에는	ᄉ ᅵ ᄒ ᅥ ᆷ ᄀ ᅵ ᄀ ᅡ ᄂ ᅦ ᄂ ᅳ ᆫ
했거든	ᄒ ᅢ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
언제나	ᄋ ᅥ ᆫ ᄌ ᅦ ᄂ ᅡ
아니	ᄋ ᅡ ᄂ ᅵ
또	ᄄ ᅩ
발끈하고	ᄇ ᅡ ᆯ ᄁ ᅳ ᆫ ᄒ ᅡ ᄀ ᅩ
발끈하긴	ᄇ ᅡ ᆯ ᄁ ᅳ ᆫ ᄒ ᅡ ᄀ ᅵ ᆫ
뭘	ᄆ ᅯ ᆯ
발끈해	ᄇ ᅡ ᆯ ᄁ ᅳ ᆫ ᄒ ᅢ
말도	ᄆ ᅡ ᆯ ᄃ ᅩ
되는	ᄃ ᅬ ᄂ ᅳ ᆫ
소리를	ᄉ ᅩ ᄅ ᅵ ᄅ ᅳ ᆯ
하니까	ᄒ ᅡ ᄂ ᅵ ᄁ ᅡ
알았어	ᄋ ᅡ ᄅ ᅡ ᄊ ᅥ
잠이	ᄌ ᅡ ᄆ ᅵ
부족할	ᄇ ᅮ ᄌ ᅩ ᄏ ᅡ ᆯ
때	ᄄ ᅢ
운동하면	ᄋ ᅮ ᆫ ᄃ ᅩ ᆼ ᄒ ᅡ ᄆ ᅧ ᆫ
몸에도	ᄆ ᅩ ᄆ ᅦ ᄃ ᅩ
별로	ᄇ ᅧ ᆯ ᄅ ᅩ
좋대	ᄌ ᅩ ᄐ ᅢ
그니까	ᄀ ᅳ ᄂ ᅵ ᄁ ᅡ
시험	ᄉ ᅵ ᄒ ᅥ ᆷ
하느라	ᄒ ᅡ ᄂ ᅳ ᄅ ᅡ
요즘	ᄋ ᅭ ᄌ ᅳ ᆷ
하루에	ᄒ ᅡ ᄅ ᅮ ᄋ ᅦ
네	ᄂ ᅦ
시간	ᄉ ᅵ ᄀ ᅡ ᆫ
밖에	ᄇ ᅡ ᄁ ᅦ
자	ᄌ ᅡ
자고서	ᄌ ᅡ ᄀ ᅩ ᄉ ᅥ
어떻게	ᄋ ᅥ ᄄ ᅥ ᄏ ᅦ
일상생활을	ᄋ ᅵ ᆯ ᄉ ᅡ ᆼ ᄉ ᅢ ᆼ ᄒ ᅪ ᄅ ᅳ ᆯ
해	ᄒ ᅢ
졸려	ᄌ ᅩ ᆯ ᄅ ᅧ
졸리지	ᄌ ᅩ ᆯ ᄅ ᅵ ᄌ ᅵ
졸리겠냐	ᄌ ᅩ ᆯ ᄅ ᅵ ᄀ ᅦ ᆫ ᄂ ᅣ
그래서	ᄀ ᅳ ᄅ ᅢ ᄉ ᅥ
지금도	ᄌ ᅵ ᄀ ᅳ ᆷ ᄃ ᅩ
커피	ᄏ ᅥ ᄑ ᅵ
사러	ᄉ ᅡ ᄅ ᅥ
나온	ᄂ ᅡ ᄋ ᅩ ᆫ
거라니까	ᄀ ᅥ ᄅ ᅡ ᄂ ᅵ ᄁ ᅡ
아무튼	ᄋ ᅡ ᄆ ᅮ ᄐ ᅳ ᆫ
너무	ᄂ ᅥ ᄆ ᅮ
무리하지	ᄆ ᅮ ᄅ ᅵ ᄒ ᅡ ᄌ ᅵ
말고	ᄆ ᅡ ᆯ ᄀ ᅩ
잘	ᄌ ᅡ ᆯ
봐라	ᄇ ᅪ ᄅ ᅡ
응	ᄋ ᅳ ᆼ
고마워	ᄀ ᅩ ᄆ ᅡ ᄋ ᅯ
끝나면	ᄁ ᅳ ᆫ ᄂ ᅡ ᄆ ᅧ ᆫ
나갈	ᄂ ᅡ ᄀ ᅡ ᆯ
게	ᄀ ᅦ
보자	ᄇ ᅩ ᄌ ᅡ
나	ᄂ ᅡ
리코더	ᄅ ᅵ ᄏ ᅩ ᄃ ᅥ
빌려줘	ᄇ ᅵ ᆯ ᄅ ᅧ ᄌ ᅯ
돼	ᄃ ᅫ
너네	ᄂ ᅥ ᄂ ᅦ
다음	ᄃ ᅡ ᄋ ᅳ ᆷ
물리	ᄆ ᅮ ᆯ ᄅ ᅵ
아니야	ᄋ ᅡ ᄂ ᅵ ᄋ ᅣ
맞아	ᄆ ᅡ ᄌ ᅡ
그럼	ᄀ ᅳ ᄅ ᅥ ᆷ
치사하게	ᄎ ᅵ ᄉ ᅡ ᄒ ᅡ ᄀ ᅦ
전에	ᄌ ᅥ ᄂ ᅦ
국어	ᄀ ᅮ ᄀ ᅥ
교과서도	ᄀ ᅭ ᄀ ᅪ ᄉ ᅥ ᄃ ᅩ
빌려줬잖아	ᄇ ᅵ ᆯ ᄅ ᅧ ᄌ ᅯ ᆮ ᄍ ᅡ ᄂ ᅡ
그거랑	ᄀ ᅳ ᄀ ᅥ ᄅ ᅡ ᆼ
리코더랑	ᄅ ᅵ ᄏ ᅩ ᄃ ᅥ ᄅ ᅡ ᆼ
같냐	ᄀ ᅡ ᆫ ᄂ ᅣ
뭐가	ᄆ ᅯ ᄀ ᅡ
다른	ᄃ ᅡ ᄅ ᅳ ᆫ
데	ᄃ ᅦ
여튼	ᄋ ᅧ ᄐ ᅳ ᆫ
와	ᄋ ᅪ
진짜	ᄌ ᅵ ᆫ ᄍ ᅡ
개치사하다	ᄀ ᅢ ᄎ ᅵ ᄉ ᅡ ᄒ ᅡ ᄃ ᅡ
너한테	ᄂ ᅥ ᄒ ᅡ ᆫ ᄐ ᅦ
다신	ᄃ ᅡ ᄉ ᅵ ᆫ
빌려준다	ᄇ ᅵ ᆯ ᄅ ᅧ ᄌ ᅮ ᆫ ᄃ ᅡ
그런	ᄀ ᅳ ᄅ ᅥ ᆫ
아니랴	ᄋ ᅡ ᄂ ᅵ ᄅ ᅣ
리코더는	ᄅ ᅵ ᄏ ᅩ ᄃ ᅥ ᄂ ᅳ ᆫ
입으로	ᄋ ᅵ ᄇ ᅳ ᄅ ᅩ
불어야	ᄇ ᅮ ᄅ ᅥ ᄋ ᅣ
되는데	ᄃ ᅬ ᄂ ᅳ ᆫ ᄃ ᅦ
그렇잖아	ᄀ ᅳ ᄅ ᅥ ᄎ ᅡ ᄂ ᅡ
쓰고	ᄊ ᅳ ᄀ ᅩ
씼어서	ᄊ ᅵ ᄊ ᅥ ᄉ ᅥ
줄게	ᄌ ᅮ ᆯ ᄀ ᅦ
그냥	ᄀ ᅳ ᄂ ᅣ ᆼ
남자	ᄂ ᅡ ᆷ ᄌ ᅡ
애들	ᄋ ᅢ ᄃ ᅳ ᆯ
한테	ᄒ ᅡ ᆫ ᄐ ᅦ
빌려봐	ᄇ ᅵ ᆯ ᄅ ᅧ ᄇ ᅪ
완전	ᄋ ᅪ ᆫ ᄌ ᅥ ᆫ
대실망이	ᄃ ᅢ ᄉ ᅵ ᆯ ᄆ ᅡ ᆼ ᄋ ᅵ
다	ᄃ ᅡ
빌려	ᄇ ᅵ ᆯ ᄅ ᅧ
줄	ᄌ ᅮ ᆯ
거야	ᄀ ᅥ ᄋ ᅣ
어	ᄋ ᅥ
이거	ᄋ ᅵ ᄀ ᅥ
뭐야	ᄆ ᅯ ᄋ ᅣ
타이머	ᄐ ᅡ ᄋ ᅵ ᄆ ᅥ
이쁘지	ᄋ ᅵ ᄈ ᅳ ᄌ ᅵ
특이하다	ᄐ ᅳ ᄀ ᅵ ᄒ ᅡ ᄃ ᅡ
이	ᄋ ᅵ
뒤에	ᄃ ᅱ ᄋ ᅦ
이걸	ᄋ ᅵ ᄀ ᅥ ᆯ
돌리면	ᄃ ᅩ ᆯ ᄅ ᅵ ᄆ ᅧ ᆫ
이렇게	ᄋ ᅵ ᄅ ᅥ ᄏ ᅦ
빨간	ᄈ ᅡ ᆯ ᄀ ᅡ ᆫ
영역이	ᄋ ᅧ ᆼ ᄋ ᅧ ᄀ ᅵ
생겨	ᄉ ᅢ ᆼ ᄀ ᅧ
오	ᄋ ᅩ
외국	ᄋ ᅬ ᄀ ᅮ ᆨ
기업에서	ᄀ ᅵ ᄋ ᅥ ᄇ ᅦ ᄉ ᅥ
많이	ᄆ ᅡ ᄂ ᅵ
쓰는	ᄊ ᅳ ᄂ ᅳ ᆫ
시계래	ᄉ ᅵ ᄀ ᅨ ᄅ ᅢ
이게	ᄋ ᅵ ᄀ ᅦ
업무	ᄋ ᅥ ᆷ ᄆ ᅮ
효율	ᄒ ᅭ ᄋ ᅲ ᆯ
진작에	ᄌ ᅵ ᆫ ᄌ ᅡ ᄀ ᅦ
미국에서	ᄆ ᅵ ᄀ ᅮ ᄀ ᅦ ᄉ ᅥ
수능	ᄉ ᅮ ᄂ ᅳ ᆼ
준비하는	ᄌ ᅮ ᆫ ᄇ ᅵ ᄒ ᅡ ᄂ ᅳ ᆫ
학생들도	ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄃ ᅳ ᆯ ᄃ ᅩ
써서	ᄊ ᅥ ᄉ ᅥ
관리	ᄀ ᅪ ᆯ ᄅ ᅵ
하면서	ᄒ ᅡ ᄆ ᅧ ᆫ ᄉ ᅥ
공부한	ᄀ ᅩ ᆼ ᄇ ᅮ ᄒ ᅡ ᆫ
대	ᄃ ᅢ
더	ᄃ ᅥ
좋나	ᄌ ᅩ ᆫ ᄂ ᅡ
그러면	ᄀ ᅳ ᄅ ᅥ ᄆ ᅧ ᆫ
과몰입에	ᄀ ᅪ ᄆ ᅩ ᄅ ᅵ ᄇ ᅦ
하고	ᄒ ᅡ ᄀ ᅩ
나면	ᄂ ᅡ ᄆ ᅧ ᆫ
뒤로	ᄃ ᅱ ᄅ ᅩ
집중	ᄌ ᅵ ᆸ ᄍ ᅮ ᆼ
하기	ᄒ ᅡ ᄀ ᅵ
어렵고	ᄋ ᅥ ᄅ ᅧ ᆸ ᄁ ᅩ
하잖아	ᄒ ᅡ ᄌ ᅡ ᄂ ᅡ
것도	ᄀ ᅥ ᆮ ᄄ ᅩ
막아주고	ᄆ ᅡ ᄀ ᅡ ᄌ ᅮ ᄀ ᅩ
하면	ᄒ ᅡ ᄆ ᅧ ᆫ
엄청	ᄋ ᅥ ᆷ ᄎ ᅥ ᆼ
직관적으로	ᄌ ᅵ ᆨ ᄁ ᅪ ᆫ ᄌ ᅥ ᄀ ᅳ ᄅ ᅩ
남은	ᄂ ᅡ ᄆ ᅳ ᆫ
시간이	ᄉ ᅵ ᄀ ᅡ ᄂ ᅵ
보이네	ᄇ ᅩ ᄋ ᅵ ᄂ ᅦ
신기하다	ᄉ ᅵ ᆫ ᄀ ᅵ ᄒ ᅡ ᄃ ᅡ
그치	ᄀ ᅳ ᄎ ᅵ
대박	ᄃ ᅢ ᄇ ᅡ ᆨ
템이야	ᄐ ᅦ ᄆ ᅵ ᄋ ᅣ
넌	ᄂ ᅥ ᆫ
이런	ᄋ ᅵ ᄅ ᅥ ᆫ
걸	ᄀ ᅥ ᆯ
알고	ᄋ ᅡ ᆯ ᄀ ᅩ
사냐	ᄉ ᅡ ᄂ ᅣ
난	ᄂ ᅡ ᆫ
원래	ᄋ ᅯ ᆯ ᄅ ᅢ
물건에	ᄆ ᅮ ᆯ ᄀ ᅥ ᄂ ᅦ
관심이	ᄀ ᅪ ᆫ ᄉ ᅵ ᄆ ᅵ
많아	ᄆ ᅡ ᄂ ᅡ
파는	ᄑ ᅡ ᄂ ᅳ ᆫ
알려주면	ᄋ ᅡ ᆯ ᄅ ᅧ ᄌ ᅮ ᄆ ᅧ ᆫ
싶어	ᄉ ᅵ ᄑ ᅥ
외국에서	ᄋ ᅬ ᄀ ᅮ ᄀ ᅦ ᄉ ᅥ
주문해야	ᄌ ᅮ ᄆ ᅮ ᆫ ᄒ ᅢ ᄋ ᅣ
거라	ᄀ ᅥ ᄅ ᅡ
특별히	ᄐ ᅳ ᆨ ᄈ ᅧ ᆯ ᄒ ᅵ
너는	ᄂ ᅥ ᄂ ᅳ ᆫ
구매	ᄀ ᅮ ᄆ ᅢ
대행해줄	ᄃ ᅢ ᄒ ᅢ ᆼ ᄒ ᅢ ᄌ ᅮ ᆯ
포스트모던	ᄑ ᅩ ᄉ ᅳ ᄐ ᅳ ᄆ ᅩ ᄃ ᅥ ᆫ
패밀리	ᄑ ᅢ ᄆ ᅵ ᆯ ᄅ ᅵ
같은	ᄀ ᅡ ᄐ ᅳ ᆫ
작품은	ᄌ ᅡ ᆨ ᄑ ᅮ ᄆ ᅳ ᆫ
천재가	ᄎ ᅥ ᆫ ᄌ ᅢ ᄀ ᅡ
거겠지	ᄀ ᅥ ᄀ ᅦ ᆮ ᄍ ᅵ
사람이	ᄉ ᅡ ᄅ ᅡ ᄆ ᅵ
건	ᄀ ᅥ ᆫ
아닐	ᄋ ᅡ ᄂ ᅵ ᆯ
이전에	ᄋ ᅵ ᄌ ᅥ ᄂ ᅦ
어둠의	ᄋ ᅥ ᄃ ᅮ ᄆ ᅴ
경로로	ᄀ ᅧ ᆼ ᄂ ᅩ ᄅ ᅩ
볼	ᄇ ᅩ ᆯ
때는	ᄄ ᅢ ᄂ ᅳ ᆫ
자막도	ᄌ ᅡ ᄆ ᅡ ᆨ ᄄ ᅩ
싱크	ᄉ ᅵ ᆼ ᄏ ᅳ
맞고	ᄆ ᅡ ᆮ ᄁ ᅩ
이상한	ᄋ ᅵ ᄉ ᅡ ᆼ ᄒ ᅡ ᆫ
번역도	ᄇ ᅥ ᄂ ᅧ ᆨ ᄄ ᅩ
많았던	ᄆ ᅡ ᄂ ᅡ ᆮ ᄄ ᅥ ᆫ
같은데	ᄀ ᅡ ᄐ ᅳ ᆫ ᄃ ᅦ
요샌	ᄋ ᅭ ᄉ ᅢ ᆫ
정식	ᄌ ᅥ ᆼ ᄉ ᅵ ᆨ
스트리밍	ᄉ ᅳ ᄐ ᅳ ᄅ ᅵ ᄆ ᅵ ᆼ
서비스로	ᄉ ᅥ ᄇ ᅵ ᄉ ᅳ ᄅ ᅩ
보니까	ᄇ ᅩ ᄂ ᅵ ᄁ ᅡ
좋아	ᄌ ᅩ ᄋ ᅡ
진짜로	ᄌ ᅵ ᆫ ᄍ ᅡ ᄅ ᅩ
예전엔	ᄋ ᅨ ᄌ ᅥ ᄂ ᅦ ᆫ
자막	ᄌ ᅡ ᄆ ᅡ ᆨ
일일이	ᄋ ᅵ ᄅ ᅵ ᄅ ᅵ
만들어서	ᄆ ᅡ ᆫ ᄃ ᅳ ᄅ ᅥ ᄉ ᅥ
보고들	ᄇ ᅩ ᄀ ᅩ ᄃ ᅳ ᆯ
했는지	ᄒ ᅢ ᆫ ᄂ ᅳ ᆫ ᄌ ᅵ
모르겠어	ᄆ ᅩ ᄅ ᅳ ᄀ ᅦ ᄊ ᅥ
한국	ᄒ ᅡ ᆫ ᄀ ᅮ ᆨ
사람들	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᆯ
데까지	ᄃ ᅦ ᄁ ᅡ ᄌ ᅵ
부지런하지	ᄇ ᅮ ᄌ ᅵ ᄅ ᅥ ᆫ ᄒ ᅡ ᄌ ᅵ
않아	ᄋ ᅡ ᄂ ᅡ
듣고	ᄃ ᅳ ᆮ ᄁ ᅩ
옮겨	ᄋ ᅩ ᆷ ᄀ ᅧ
적고	ᄌ ᅥ ᆨ ᄁ ᅩ
번역하고	ᄇ ᅥ ᄂ ᅧ ᄏ ᅡ ᄀ ᅩ
맞추고	ᄆ ᅡ ᆮ ᄎ ᅮ ᄀ ᅩ
하는	ᄒ ᅡ ᄂ ᅳ ᆫ
잖아	ᄌ ᅡ ᄂ ᅡ
들으면서	ᄃ ᅳ ᄅ ᅳ ᄆ ᅧ ᆫ ᄉ ᅥ
아니다	ᄋ ᅡ ᄂ ᅵ ᄃ ᅡ
거의	ᄀ ᅥ ᄋ ᅴ
영어	ᄋ ᅧ ᆼ ᄋ ᅥ
대본이	ᄃ ᅢ ᄇ ᅩ ᄂ ᅵ
있을	ᄋ ᅵ ᄊ ᅳ ᆯ
예전에	ᄋ ᅨ ᄌ ᅥ ᄂ ᅦ
팬더위키에서	ᄑ ᅢ ᆫ ᄃ ᅥ ᄋ ᅱ ᄏ ᅵ ᄋ ᅦ ᄉ ᅥ
만들	ᄆ ᅡ ᆫ ᄃ ᅳ ᆯ
들은	ᄃ ᅳ ᄅ ᅳ ᆫ
걸로	ᄀ ᅥ ᆯ ᄅ ᅩ
거래	ᄀ ᅥ ᄅ ᅢ
대개	ᄃ ᅢ ᄀ ᅢ
하루	ᄒ ᅡ ᄅ ᅮ
저녁이면	ᄌ ᅥ ᄂ ᅧ ᄀ ᅵ ᄆ ᅧ ᆫ
만들던데	ᄆ ᅡ ᆫ ᄃ ᅳ ᆯ ᄃ ᅥ ᆫ ᄃ ᅦ
한다는	ᄒ ᅡ ᆫ ᄃ ᅡ ᄂ ᅳ ᆫ
말이	ᄆ ᅡ ᄅ ᅵ
된다	ᄃ ᅬ ᆫ ᄃ ᅡ
진짜라니까	ᄌ ᅵ ᆫ ᄍ ᅡ ᄅ ᅡ ᄂ ᅵ ᄁ ᅡ
아니라니까	ᄋ ᅡ ᄂ ᅵ ᄅ ᅡ ᄂ ᅵ ᄁ ᅡ
왤케	ᄋ ᅫ ᆯ ᄏ ᅦ
우겨	ᄋ ᅮ ᄀ ᅧ
식물	ᄉ ᅵ ᆼ ᄆ ᅮ ᆯ
위키에서	ᄋ ᅱ ᄏ ᅵ ᄋ ᅦ ᄉ ᅥ
봤다고	ᄇ ᅪ ᆮ ᄄ ᅡ ᄀ ᅩ
그것	ᄀ ᅳ ᄀ ᅥ ᆮ
그만	ᄀ ᅳ ᄆ ᅡ ᆫ
봐	ᄇ ᅪ
거기	ᄀ ᅥ ᄀ ᅵ
엉터리야	ᄋ ᅥ ᆼ ᄐ ᅥ ᄅ ᅵ ᄋ ᅣ
비슷비슷한	ᄇ ᅵ ᄉ ᅳ ᆮ ᄈ ᅵ ᄉ ᅳ ᄐ ᅡ ᆫ
애들이	ᄋ ᅢ ᄃ ᅳ ᄅ ᅵ
데잖아	ᄃ ᅦ ᄌ ᅡ ᄂ ᅡ
말	ᄆ ᅡ ᆯ
싸가지	ᄊ ᅡ ᄀ ᅡ ᄌ ᅵ
한다	ᄒ ᅡ ᆫ ᄃ ᅡ
기분	ᄀ ᅵ ᄇ ᅮ ᆫ
나빠해	ᄂ ᅡ ᄈ ᅡ ᄒ ᅢ
찔려	ᄍ ᅵ ᆯ ᄅ ᅧ
태용이	ᄐ ᅢ ᄋ ᅭ ᆼ ᄋ ᅵ
검정고시	ᄀ ᅥ ᆷ ᄌ ᅥ ᆼ ᄀ ᅩ ᄉ ᅵ
건가	ᄀ ᅥ ᆫ ᄀ ᅡ
그러지	ᄀ ᅳ ᄅ ᅥ ᄌ ᅵ
않을까	ᄋ ᅡ ᄂ ᅳ ᆯ ᄁ ᅡ
휴	ᄒ ᅲ
마음이	ᄆ ᅡ ᄋ ᅳ ᄆ ᅵ
아직도	ᄋ ᅡ ᄌ ᅵ ᆨ ᄄ ᅩ
사람들이	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅵ
보수적인	ᄇ ᅩ ᄉ ᅮ ᄌ ᅥ ᄀ ᅵ ᆫ
그러게	ᄀ ᅳ ᄅ ᅥ ᄀ ᅦ
꼭	ᄁ ᅩ ᆨ
친구가	ᄎ ᅵ ᆫ ᄀ ᅮ ᄀ ᅡ
있었으면	ᄋ ᅵ ᄊ ᅥ ᄊ ᅳ ᄆ ᅧ ᆫ
좋겠는데	ᄌ ᅩ ᄏ ᅦ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ
재밌고	ᄌ ᅢ ᄆ ᅵ ᆮ ᄁ ᅩ
편할	ᄑ ᅧ ᆫ ᄒ ᅡ ᆯ
같거든	ᄀ ᅡ ᆮ ᄁ ᅥ ᄃ ᅳ ᆫ
사람	ᄉ ᅡ ᄅ ᅡ ᆷ
좋아하는	ᄌ ᅩ ᄋ ᅡ ᄒ ᅡ ᄂ ᅳ ᆫ
이상하게	ᄋ ᅵ ᄉ ᅡ ᆼ ᄒ ᅡ ᄀ ᅦ
들만	ᄃ ᅳ ᆯ ᄆ ᅡ ᆫ
생각	ᄉ ᅢ ᆼ ᄀ ᅡ ᆨ
나는	ᄂ ᅡ ᄂ ᅳ ᆫ
이해하거든	ᄋ ᅵ ᄒ ᅢ ᄒ ᅡ ᄀ ᅥ ᄃ ᅳ ᆫ
사람들이라고	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅵ ᄅ ᅡ ᄀ ᅩ
뭔가	ᄆ ᅯ ᆫ ᄀ ᅡ
나누려는	ᄂ ᅡ ᄂ ᅮ ᄅ ᅧ ᄂ ᅳ ᆫ
것처럼	ᄀ ᅥ ᆮ ᄎ ᅥ ᄅ ᅥ ᆷ
들린다	ᄃ ᅳ ᆯ ᄅ ᅵ ᆫ ᄃ ᅡ
잘못	ᄌ ᅡ ᆯ ᄆ ᅩ ᆮ
말했다	ᄆ ᅡ ᆯ ᄒ ᅢ ᆮ ᄄ ᅡ
이해가	ᄋ ᅵ ᄒ ᅢ ᄀ ᅡ
필요한	ᄑ ᅵ ᄅ ᅭ ᄒ ᅡ ᆫ
실수했다	ᄉ ᅵ ᆯ ᄉ ᅮ ᄒ ᅢ ᆮ ᄄ ᅡ
듣다	ᄃ ᅳ ᆮ ᄄ ᅡ
들어서	ᄃ ᅳ ᄅ ᅥ ᄉ ᅥ
말해	ᄆ ᅡ ᆯ ᄒ ᅢ
본	ᄇ ᅩ ᆫ
방송	ᄇ ᅡ ᆼ ᄉ ᅩ ᆼ
부지	ᄇ ᅮ ᄌ ᅵ
혹시	ᄒ ᅩ ᆨ ᄊ ᅵ
아까	ᄋ ᅡ ᄁ ᅡ
점심에	ᄌ ᅥ ᆷ ᄉ ᅵ ᄆ ᅦ
튼	ᄐ ᅳ ᆫ
음악들	ᄋ ᅳ ᄆ ᅡ ᆨ ᄄ ᅳ ᆯ
누가	ᄂ ᅮ ᄀ ᅡ
트는지	ᄐ ᅳ ᄂ ᅳ ᆫ ᄌ ᅵ
알아	ᄋ ᅡ ᄅ ᅡ
누구야	ᄂ ᅮ ᄀ ᅮ ᄋ ᅣ
난데	ᄂ ᅡ ᆫ ᄃ ᅦ
뭐라고	ᄆ ᅯ ᄅ ᅡ ᄀ ᅩ
시티팝	ᄉ ᅵ ᄐ ᅵ ᄑ ᅡ ᆸ
일본	ᄋ ᅵ ᆯ ᄇ ᅩ ᆫ
노랜데	ᄂ ᅩ ᄅ ᅢ ᆫ ᄃ ᅦ
시티팝이라고	ᄉ ᅵ ᄐ ᅵ ᄑ ᅡ ᄇ ᅵ ᄅ ᅡ ᄀ ᅩ
