씨	ᄊ ᅵ
떠났어요	ᄄ ᅥ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
들판엔	ᄃ ᅳ ᆯ ᄑ ᅡ ᄂ ᅦ ᆫ
군데군데	ᄀ ᅮ ᆫ ᄃ ᅦ ᄀ ᅮ ᆫ ᄃ ᅦ
벼를	ᄇ ᅧ ᄅ ᅳ ᆯ
벤	ᄇ ᅦ ᆫ
볏단이	ᄇ ᅧ ᆮ ᄄ ᅡ ᄂ ᅵ
쌓여	ᄊ ᅡ ᄋ ᅧ
있었어요	ᄋ ᅵ ᄊ ᅥ ᄊ ᅥ ᄋ ᅭ
볏단을	ᄇ ᅧ ᆮ ᄄ ᅡ ᄂ ᅳ ᆯ
옮기는	ᄋ ᅩ ᆷ ᄀ ᅵ ᄂ ᅳ ᆫ
농부	ᄂ ᅩ ᆼ ᄇ ᅮ
과일을	ᄀ ᅪ ᄋ ᅵ ᄅ ᅳ ᆯ
따는	ᄄ ᅡ ᄂ ᅳ ᆫ
그들의	ᄀ ᅳ ᄃ ᅳ ᄅ ᅴ
손이	ᄉ ᅩ ᄂ ᅵ
더욱	ᄃ ᅥ ᄋ ᅮ ᆨ
바빴어요	ᄇ ᅡ ᄈ ᅡ ᄊ ᅥ ᄋ ᅭ
저	ᄌ ᅥ
감	ᄀ ᅡ ᆷ
좀	ᄌ ᅩ ᆷ
보세요	ᄇ ᅩ ᄉ ᅦ ᄋ ᅭ
너무	ᄂ ᅥ ᄆ ᅮ
빨개요	ᄈ ᅡ ᆯ ᄀ ᅢ ᄋ ᅭ
그래	ᄀ ᅳ ᄅ ᅢ
홍시가	ᄒ ᅩ ᆼ ᄉ ᅵ ᄀ ᅡ
정말	ᄌ ᅥ ᆼ ᄆ ᅡ ᆯ
탐스럽게	ᄐ ᅡ ᆷ ᄉ ᅳ ᄅ ᅥ ᆸ ᄁ ᅦ
익었구나	ᄋ ᅵ ᄀ ᅥ ᆮ ᄁ ᅮ ᄂ ᅡ
아빠	ᄋ ᅡ ᄈ ᅡ
감이	ᄀ ᅡ ᄆ ᅵ
곧	ᄀ ᅩ ᆮ
떨어질	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᆯ
것	ᄀ ᅥ ᆮ
같아요	ᄀ ᅡ ᄐ ᅡ ᄋ ᅭ
잠시	ᄌ ᅡ ᆷ ᄉ ᅵ
생각하던	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅡ ᄃ ᅥ ᆫ
경수는	ᄀ ᅧ ᆼ ᄉ ᅮ ᄂ ᅳ ᆫ
우리	ᄋ ᅮ ᄅ ᅵ
가서	ᄀ ᅡ ᄉ ᅥ
있다	ᄋ ᅵ ᆮ ᄄ ᅡ
가요	ᄀ ᅡ ᄋ ᅭ
누워서	ᄂ ᅮ ᄋ ᅯ ᄉ ᅥ
크게	ᄏ ᅳ ᄀ ᅦ
벌리고	ᄇ ᅥ ᆯ ᄅ ᅵ ᄀ ᅩ
경수야	ᄀ ᅧ ᆼ ᄉ ᅮ ᄋ ᅣ
저건	ᄌ ᅥ ᄀ ᅥ ᆫ
감나무가	ᄀ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄀ ᅡ
아니잖니	ᄋ ᅡ ᄂ ᅵ ᄌ ᅡ ᆫ ᄂ ᅵ
괜찮아요	ᄀ ᅫ ᆫ ᄎ ᅡ ᄂ ᅡ ᄋ ᅭ
아무도	ᄋ ᅡ ᄆ ᅮ ᄃ ᅩ
보지	ᄇ ᅩ ᄌ ᅵ
않는데요	ᄋ ᅡ ᆫ ᄂ ᅳ ᆫ ᄃ ᅦ ᄋ ᅭ
어차피	ᄋ ᅥ ᄎ ᅡ ᄑ ᅵ
떨어지면	ᄄ ᅥ ᄅ ᅥ ᄌ ᅵ ᄆ ᅧ ᆫ
먹지도	ᄆ ᅥ ᆨ ᄍ ᅵ ᄃ ᅩ
못하고	ᄆ ᅩ ᄐ ᅡ ᄀ ᅩ
버리게	ᄇ ᅥ ᄅ ᅵ ᄀ ᅦ
되잖아요	ᄃ ᅬ ᄌ ᅡ ᄂ ᅡ ᄋ ᅭ
그래도	ᄀ ᅳ ᄅ ᅢ ᄃ ᅩ
그건	ᄀ ᅳ ᄀ ᅥ ᆫ
안	ᄋ ᅡ ᆫ
되지	ᄃ ᅬ ᄌ ᅵ
집	ᄌ ᅵ ᆸ
감나무도	ᄀ ᅡ ᆷ ᄂ ᅡ ᄆ ᅮ ᄃ ᅩ
아닐	ᄋ ᅡ ᄂ ᅵ ᆯ
뿐만	ᄈ ᅮ ᆫ ᄆ ᅡ ᆫ
아니라	ᄋ ᅡ ᄂ ᅵ ᄅ ᅡ
열리는데	ᄋ ᅧ ᆯ ᄅ ᅵ ᄂ ᅳ ᆫ ᄃ ᅦ
어떤	ᄋ ᅥ ᄄ ᅥ ᆫ
노력이나	ᄂ ᅩ ᄅ ᅧ ᄀ ᅵ ᄂ ᅡ
수고도	ᄉ ᅮ ᄀ ᅩ ᄃ ᅩ
하지	ᄒ ᅡ ᄌ ᅵ
않았잖니	ᄋ ᅡ ᄂ ᅡ ᆮ ᄍ ᅡ ᆫ ᄂ ᅵ
도둑질이나	ᄃ ᅩ ᄃ ᅮ ᆨ ᄍ ᅵ ᄅ ᅵ ᄂ ᅡ
별로	ᄇ ᅧ ᆯ ᄅ ᅩ
다를	ᄃ ᅡ ᄅ ᅳ ᆯ
바가	ᄇ ᅡ ᄀ ᅡ
없지	ᄋ ᅥ ᆸ ᄍ ᅵ
것을	ᄀ ᅥ ᄉ ᅳ ᆯ
얻으려면	ᄋ ᅥ ᄃ ᅳ ᄅ ᅧ ᄆ ᅧ ᆫ
그것에	ᄀ ᅳ ᄀ ᅥ ᄉ ᅦ
마땅한	ᄆ ᅡ ᄄ ᅡ ᆼ ᄒ ᅡ ᆫ
수고를	ᄉ ᅮ ᄀ ᅩ ᄅ ᅳ ᆯ
해야	ᄒ ᅢ ᄋ ᅣ
한다	ᄒ ᅡ ᆫ ᄃ ᅡ
수고가	ᄉ ᅮ ᄀ ᅩ ᄀ ᅡ
가지려는	ᄀ ᅡ ᄌ ᅵ ᄅ ᅧ ᄂ ᅳ ᆫ
것은	ᄀ ᅥ ᄉ ᅳ ᆫ
그래야	ᄀ ᅳ ᄅ ᅢ ᄋ ᅣ
사람들이	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅵ
많은	ᄆ ᅡ ᄂ ᅳ ᆫ
얻기	ᄋ ᅥ ᆮ ᄁ ᅵ
위해서	ᄋ ᅱ ᄒ ᅢ ᄉ ᅥ
노력을	ᄂ ᅩ ᄅ ᅧ ᄀ ᅳ ᆯ
않겠니	ᄋ ᅡ ᆫ ᄏ ᅦ ᆫ ᄂ ᅵ
속의	ᄉ ᅩ ᄀ ᅴ
먹으려고	ᄆ ᅥ ᄀ ᅳ ᄅ ᅧ ᄀ ᅩ
누우려고	ᄂ ᅮ ᄋ ᅮ ᄅ ᅧ ᄀ ᅩ
열리기까지	ᄋ ᅧ ᆯ ᄅ ᅵ ᄀ ᅵ ᄁ ᅡ ᄌ ᅵ
수고는	ᄉ ᅮ ᄀ ᅩ ᄂ ᅳ ᆫ
않고	ᄋ ᅡ ᆫ ᄏ ᅩ
요행을	ᄋ ᅭ ᄒ ᅢ ᆼ ᄋ ᅳ ᆯ
바랬던	ᄇ ᅡ ᄅ ᅢ ᆮ ᄄ ᅥ ᆫ
것이	ᄀ ᅥ ᄉ ᅵ
다	ᄃ ᅡ
노력한	ᄂ ᅩ ᄅ ᅧ ᄏ ᅡ ᆫ
만큼	ᄆ ᅡ ᆫ ᄏ ᅳ ᆷ
얻는	ᄋ ᅥ ᆫ ᄂ ᅳ ᆫ
사회되어야	ᄉ ᅡ ᄒ ᅬ ᄃ ᅬ ᄋ ᅥ ᄋ ᅣ
우리는	ᄋ ᅮ ᄅ ᅵ ᄂ ᅳ ᆫ
이것을	ᄋ ᅵ ᄀ ᅥ ᄉ ᅳ ᆯ
불로소득이라고	ᄇ ᅮ ᆯ ᄅ ᅩ ᄉ ᅩ ᄃ ᅳ ᄀ ᅵ ᄅ ᅡ ᄀ ᅩ
일을	ᄋ ᅵ ᄅ ᅳ ᆯ
해서	ᄒ ᅢ ᄉ ᅥ
그	ᄀ ᅳ
대가를	ᄃ ᅢ ᄀ ᅡ ᄅ ᅳ ᆯ
받는	ᄇ ᅡ ᆫ ᄂ ᅳ ᆫ
근로소득에	ᄀ ᅳ ᆯ ᄅ ᅩ ᄉ ᅩ ᄃ ᅳ ᄀ ᅦ
대한	ᄃ ᅢ ᄒ ᅡ ᆫ
반대	ᄇ ᅡ ᆫ ᄃ ᅢ
되는	ᄃ ᅬ ᄂ ᅳ ᆫ
것으로	ᄀ ᅥ ᄉ ᅳ ᄅ ᅩ
노동을	ᄂ ᅩ ᄃ ᅩ ᆼ ᄋ ᅳ ᆯ
소득을	ᄉ ᅩ ᄃ ᅳ ᄀ ᅳ ᆯ
말한다	ᄆ ᅡ ᆯ ᄒ ᅡ ᆫ ᄃ ᅡ
사회엔	ᄉ ᅡ ᄒ ᅬ ᄋ ᅦ ᆫ
자신의	ᄌ ᅡ ᄉ ᅵ ᄂ ᅴ
경제적	ᄀ ᅧ ᆼ ᄌ ᅦ ᄌ ᅥ ᆨ
이득을	ᄋ ᅵ ᄃ ᅳ ᄀ ᅳ ᆯ
챙기려는	ᄎ ᅢ ᆼ ᄀ ᅵ ᄅ ᅧ ᄂ ᅳ ᆫ
많다	ᄆ ᅡ ᆫ ᄐ ᅡ
부자인	ᄇ ᅮ ᄌ ᅡ ᄋ ᅵ ᆫ
부모님	ᄇ ᅮ ᄆ ᅩ ᄂ ᅵ ᆷ
덕분에	ᄃ ᅥ ᆨ ᄈ ᅮ ᄂ ᅦ
자신은	ᄌ ᅡ ᄉ ᅵ ᄂ ᅳ ᆫ
노력도	ᄂ ᅩ ᄅ ᅧ ᆨ ᄄ ᅩ
부모님이	ᄇ ᅮ ᄆ ᅩ ᄂ ᅵ ᄆ ᅵ
물려준	ᄆ ᅮ ᆯ ᄅ ᅧ ᄌ ᅮ ᆫ
땅이나	ᄄ ᅡ ᆼ ᄋ ᅵ ᄂ ᅡ
건물로부터	ᄀ ᅥ ᆫ ᄆ ᅮ ᆯ ᄅ ᅩ ᄇ ᅮ ᄐ ᅥ
임대료를	ᄋ ᅵ ᆷ ᄃ ᅢ ᄅ ᅭ ᄅ ᅳ ᆯ
받거나	ᄇ ᅡ ᆮ ᄁ ᅥ ᄂ ᅡ
아파트	ᄋ ᅡ ᄑ ᅡ ᄐ ᅳ
투기로	ᄐ ᅮ ᄀ ᅵ ᄅ ᅩ
돈을	ᄃ ᅩ ᄂ ᅳ ᆯ
벌려고	ᄇ ᅥ ᆯ ᄅ ᅧ ᄀ ᅩ
하는	ᄒ ᅡ ᄂ ᅳ ᆫ
사람들	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᆯ
그것을	ᄀ ᅳ ᄀ ᅥ ᄉ ᅳ ᆯ
위한	ᄋ ᅱ ᄒ ᅡ ᆫ
능력을	ᄂ ᅳ ᆼ ᄂ ᅧ ᄀ ᅳ ᆯ
갖추고	ᄀ ᅡ ᆮ ᄎ ᅮ ᄀ ᅩ
또	ᄄ ᅩ
정당한	ᄌ ᅥ ᆼ ᄃ ᅡ ᆼ ᄒ ᅡ ᆫ
벌게	ᄇ ᅥ ᆯ ᄀ ᅦ
되고	ᄃ ᅬ ᄀ ᅩ
그것이	ᄀ ᅳ ᄀ ᅥ ᄉ ᅵ
만연하면	ᄆ ᅡ ᄂ ᅧ ᆫ ᄒ ᅡ ᄆ ᅧ ᆫ
다른	ᄃ ᅡ ᄅ ᅳ ᆫ
사람들은	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅳ ᆫ
노력해	ᄂ ᅩ ᄅ ᅧ ᄏ ᅢ
봐야	ᄇ ᅪ ᄋ ᅣ
무슨	ᄆ ᅮ ᄉ ᅳ ᆫ
소용이야	ᄉ ᅩ ᄋ ᅭ ᆼ ᄋ ᅵ ᄋ ᅣ
돈은	ᄃ ᅩ ᄂ ᅳ ᆫ
엉뚱한	ᄋ ᅥ ᆼ ᄄ ᅮ ᆼ ᄒ ᅡ ᆫ
사람이	ᄉ ᅡ ᄅ ᅡ ᄆ ᅵ
버는	ᄇ ᅥ ᄂ ᅳ ᆫ
데라며	ᄃ ᅦ ᄅ ᅡ ᄆ ᅧ
불만을	ᄇ ᅮ ᆯ ᄆ ᅡ ᄂ ᅳ ᆯ
가지기	ᄀ ᅡ ᄌ ᅵ ᄀ ᅵ
쉽고	ᄉ ᅱ ᆸ ᄁ ᅩ
이런	ᄋ ᅵ ᄅ ᅥ ᆫ
생각을	ᄉ ᅢ ᆼ ᄀ ᅡ ᄀ ᅳ ᆯ
많아지면	ᄆ ᅡ ᄂ ᅡ ᄌ ᅵ ᄆ ᅧ ᆫ
사회는	ᄉ ᅡ ᄒ ᅬ ᄂ ᅳ ᆫ
이상의	ᄋ ᅵ ᄉ ᅡ ᆼ ᄋ ᅴ
발전을	ᄇ ᅡ ᆯ ᄍ ᅥ ᄂ ᅳ ᆯ
기대하기	ᄀ ᅵ ᄃ ᅢ ᄒ ᅡ ᄀ ᅵ
어려워진다	ᄋ ᅥ ᄅ ᅧ ᄋ ᅯ ᄌ ᅵ ᆫ ᄃ ᅡ
세금으로	ᄉ ᅦ ᄀ ᅳ ᄆ ᅳ ᄅ ᅩ
걸러내	ᄀ ᅥ ᆯ ᄅ ᅥ ᄂ ᅢ
따라서	ᄄ ᅡ ᄅ ᅡ ᄉ ᅥ
국가에서는	ᄀ ᅮ ᆨ ᄁ ᅡ ᄋ ᅦ ᄉ ᅥ ᄂ ᅳ ᆫ
불로소득에	ᄇ ᅮ ᆯ ᄅ ᅩ ᄉ ᅩ ᄃ ᅳ ᄀ ᅦ
대해	ᄃ ᅢ ᄒ ᅢ
이들의	ᄋ ᅵ ᄃ ᅳ ᄅ ᅴ
대부분을	ᄃ ᅢ ᄇ ᅮ ᄇ ᅮ ᄂ ᅳ ᆯ
거두어들여서	ᄀ ᅥ ᄃ ᅮ ᄋ ᅥ ᄃ ᅳ ᄅ ᅧ ᄉ ᅥ
능력이나	ᄂ ᅳ ᆼ ᄂ ᅧ ᄀ ᅵ ᄂ ᅡ
노력으로	ᄂ ᅩ ᄅ ᅧ ᄀ ᅳ ᄅ ᅩ
살아가게	ᄉ ᅡ ᄅ ᅡ ᄀ ᅡ ᄀ ᅦ
유도한다	ᄋ ᅲ ᄃ ᅩ ᄒ ᅡ ᆫ ᄃ ᅡ
상속세나	ᄉ ᅡ ᆼ ᄉ ᅩ ᆨ ᄊ ᅦ ᄂ ᅡ
증여세를	ᄌ ᅳ ᆼ ᄋ ᅧ ᄉ ᅦ ᄅ ᅳ ᆯ
무겁게	ᄆ ᅮ ᄀ ᅥ ᆸ ᄁ ᅦ
매겨	ᄆ ᅢ ᄀ ᅧ
재산의	ᄌ ᅢ ᄉ ᅡ ᄂ ᅴ
상당	ᄉ ᅡ ᆼ ᄃ ᅡ ᆼ
부분을	ᄇ ᅮ ᄇ ᅮ ᄂ ᅳ ᆯ
국가가	ᄀ ᅮ ᆨ ᄁ ᅡ ᄀ ᅡ
거두어	ᄀ ᅥ ᄃ ᅮ ᄋ ᅥ
들이는	ᄃ ᅳ ᄅ ᅵ ᄂ ᅳ ᆫ
이	ᄋ ᅵ
때문이다	ᄄ ᅢ ᄆ ᅮ ᄂ ᅵ ᄃ ᅡ
여윳	ᄋ ᅧ ᄋ ᅲ ᆮ
돈으로	ᄃ ᅩ ᄂ ᅳ ᄅ ᅩ
사업을	ᄉ ᅡ ᄋ ᅥ ᄇ ᅳ ᆯ
단지	ᄃ ᅡ ᆫ ᄌ ᅵ
은행이나	ᄋ ᅳ ᆫ ᄒ ᅢ ᆼ ᄋ ᅵ ᄂ ᅡ
금융기관에	ᄀ ᅳ ᆷ ᄂ ᅲ ᆼ ᄀ ᅵ ᄀ ᅪ ᄂ ᅦ
예금하여	ᄋ ᅨ ᄀ ᅳ ᆷ ᄒ ᅡ ᄋ ᅧ
이자를	ᄋ ᅵ ᄌ ᅡ ᄅ ᅳ ᆯ
받으려고	ᄇ ᅡ ᄃ ᅳ ᄅ ᅧ ᄀ ᅩ
이자	ᄋ ᅵ ᄌ ᅡ
소득에	ᄉ ᅩ ᄃ ᅳ ᄀ ᅦ
대해서도	ᄃ ᅢ ᄒ ᅢ ᄉ ᅥ ᄃ ᅩ
십육	ᄉ ᅵ ᄇ ᅲ ᆨ
점	ᄌ ᅥ ᆷ
칠오	ᄎ ᅵ ᄅ ᅩ
퍼센트의	ᄑ ᅥ ᄉ ᅦ ᆫ ᄐ ᅳ ᄋ ᅴ
높은	ᄂ ᅩ ᄑ ᅳ ᆫ
세율을	ᄉ ᅦ ᄋ ᅲ ᄅ ᅳ ᆯ
적용하는	ᄌ ᅥ ᄀ ᅭ ᆼ ᄒ ᅡ ᄂ ᅳ ᆫ
것도	ᄀ ᅥ ᆮ ᄄ ᅩ
마찬가지	ᄆ ᅡ ᄎ ᅡ ᆫ ᄀ ᅡ ᄌ ᅵ
그리고	ᄀ ᅳ ᄅ ᅵ ᄀ ᅩ
특정	ᄐ ᅳ ᆨ ᄍ ᅥ ᆼ
지역의	ᄌ ᅵ ᄋ ᅧ ᄀ ᅴ
개발에	ᄀ ᅢ ᄇ ᅡ ᄅ ᅦ
따른	ᄄ ᅡ ᄅ ᅳ ᆫ
이익에	ᄋ ᅵ ᄋ ᅵ ᄀ ᅦ
대해서는	ᄃ ᅢ ᄒ ᅢ ᄉ ᅥ ᄂ ᅳ ᆫ
개발	ᄀ ᅢ ᄇ ᅡ ᆯ
이익환수세로	ᄋ ᅵ ᄋ ᅵ ᄏ ᅪ ᆫ ᄉ ᅮ ᄉ ᅦ ᄅ ᅩ
대부분의	ᄃ ᅢ ᄇ ᅮ ᄇ ᅮ ᄂ ᅴ
개발이익을	ᄀ ᅢ ᄇ ᅡ ᄅ ᅵ ᄋ ᅵ ᄀ ᅳ ᆯ
드리는	ᄃ ᅳ ᄅ ᅵ ᄂ ᅳ ᆫ
같은	ᄀ ᅡ ᄐ ᅳ ᆫ
이치	ᄋ ᅵ ᄎ ᅵ
건강한	ᄀ ᅥ ᆫ ᄀ ᅡ ᆼ ᄒ ᅡ ᆫ
사회	ᄉ ᅡ ᄒ ᅬ
발전하는	ᄇ ᅡ ᆯ ᄍ ᅥ ᆫ ᄒ ᅡ ᄂ ᅳ ᆫ
국가는	ᄀ ᅮ ᆨ ᄁ ᅡ ᄂ ᅳ ᆫ
능력으로	ᄂ ᅳ ᆼ ᄂ ᅧ ᄀ ᅳ ᄅ ᅩ
이루어지게	ᄋ ᅵ ᄅ ᅮ ᄋ ᅥ ᄌ ᅵ ᄀ ᅦ
됨을	ᄃ ᅬ ᄆ ᅳ ᆯ
명심할	ᄆ ᅧ ᆼ ᄉ ᅵ ᆷ ᄒ ᅡ ᆯ
필요가	ᄑ ᅵ ᄅ ᅭ ᄀ ᅡ
학생들이	ᄒ ᅡ ᆨ ᄊ ᅢ ᆼ ᄃ ᅳ ᄅ ᅵ
공부는	ᄀ ᅩ ᆼ ᄇ ᅮ ᄂ ᅳ ᆫ
컨닝을	ᄏ ᅥ ᆫ ᄂ ᅵ ᆼ ᄋ ᅳ ᆯ
성적을	ᄉ ᅥ ᆼ ᄌ ᅥ ᄀ ᅳ ᆯ
잘	ᄌ ᅡ ᆯ
받으려는	ᄇ ᅡ ᄃ ᅳ ᄅ ᅧ ᄂ ᅳ ᆫ
것에	ᄀ ᅥ ᄉ ᅦ
벌을	ᄇ ᅥ ᄅ ᅳ ᆯ
주는	ᄌ ᅮ ᄂ ᅳ ᆫ
영	ᄋ ᅧ ᆼ
무조건	ᄆ ᅮ ᄌ ᅩ ᄀ ᅥ ᆫ
아끼기	ᄋ ᅡ ᄁ ᅵ ᄀ ᅵ
이제	ᄋ ᅵ ᄌ ᅦ
그만	ᄀ ᅳ ᄆ ᅡ ᆫ
절약의	ᄌ ᅥ ᄅ ᅣ ᄀ ᅴ
역설	ᄋ ᅧ ᆨ ᄊ ᅥ ᆯ
욕심쟁이	ᄋ ᅭ ᆨ ᄊ ᅵ ᆷ ᄌ ᅢ ᆼ ᄋ ᅵ
우물의	ᄋ ᅮ ᄆ ᅮ ᄅ ᅴ
신	ᄉ ᅵ ᆫ
옛날	ᄋ ᅨ ᆫ ᄂ ᅡ ᆯ
옛날에	ᄋ ᅨ ᆫ ᄂ ᅡ ᄅ ᅦ
우물이	ᄋ ᅮ ᄆ ᅮ ᄅ ᅵ
있는	ᄋ ᅵ ᆫ ᄂ ᅳ ᆫ
마을이	ᄆ ᅡ ᄋ ᅳ ᄅ ᅵ
있었습니다	ᄋ ᅵ ᄊ ᅥ ᆮ ᄊ ᅳ ᆷ ᄂ ᅵ ᄃ ᅡ
우물은	ᄋ ᅮ ᄆ ᅮ ᄅ ᅳ ᆫ
마르지	ᄆ ᅡ ᄅ ᅳ ᄌ ᅵ
샘솟아	ᄉ ᅢ ᆷ ᄉ ᅩ ᄉ ᅡ
마을	ᄆ ᅡ ᄋ ᅳ ᆯ
사람들에게	ᄉ ᅡ ᄅ ᅡ ᆷ ᄃ ᅳ ᄅ ᅦ ᄀ ᅦ
항상	ᄒ ᅡ ᆼ ᄉ ᅡ ᆼ
맑은	ᄆ ᅡ ᆯ ᄀ ᅳ ᆫ
물을	ᄆ ᅮ ᄅ ᅳ ᆯ
주었죠	ᄌ ᅮ ᄋ ᅥ ᆮ ᄍ ᅭ
그러던	ᄀ ᅳ ᄅ ᅥ ᄃ ᅥ ᆫ
어느	ᄋ ᅥ ᄂ ᅳ
날	ᄂ ᅡ ᆯ
신은	ᄉ ᅵ ᄂ ᅳ ᆫ
갑자기	ᄀ ᅡ ᆸ ᄍ ᅡ ᄀ ᅵ
하게	ᄒ ᅡ ᄀ ᅦ
됐어요	ᄃ ᅫ ᄊ ᅥ ᄋ ᅭ
그런데	ᄀ ᅳ ᄅ ᅥ ᆫ ᄃ ᅦ
물이	ᄆ ᅮ ᄅ ᅵ
없어지면	ᄋ ᅥ ᆸ ᄊ ᅥ ᄌ ᅵ ᄆ ᅧ ᆫ
어떡하지	ᄋ ᅥ ᄄ ᅥ ᄏ ᅡ ᄌ ᅵ
지금부터라도	ᄌ ᅵ ᄀ ᅳ ᆷ ᄇ ᅮ ᄐ ᅥ ᄅ ᅡ ᄃ ᅩ
아껴야	ᄋ ᅡ ᄁ ᅧ ᄋ ᅣ
되겠다	ᄃ ᅬ ᄀ ᅦ ᆮ ᄄ ᅡ
이렇게	ᄋ ᅵ ᄅ ᅥ ᄏ ᅦ
생각한	ᄉ ᅢ ᆼ ᄀ ᅡ ᄏ ᅡ ᆫ
그날부터	ᄀ ᅳ ᄂ ᅡ ᆯ ᄇ ᅮ ᄐ ᅥ
뚜껑을	ᄄ ᅮ ᄁ ᅥ ᆼ ᄋ ᅳ ᆯ
꼭	ᄁ ᅩ ᆨ
잠그고	ᄌ ᅡ ᆷ ᄀ ᅳ ᄀ ᅩ
아무에게도	ᄋ ᅡ ᄆ ᅮ ᄋ ᅦ ᄀ ᅦ ᄃ ᅩ
내놓지	ᄂ ᅢ ᄂ ᅩ ᄎ ᅵ
않았어요	ᄋ ᅡ ᄂ ᅡ ᄊ ᅥ ᄋ ᅭ
구할	ᄀ ᅮ ᄒ ᅡ ᆯ
수	ᄉ ᅮ
없는	ᄋ ᅥ ᆷ ᄂ ᅳ ᆫ
하나	ᄒ ᅡ ᄂ ᅡ
둘	ᄃ ᅮ ᆯ
마을을	ᄆ ᅡ ᄋ ᅳ ᄅ ᅳ ᆯ
떠나기	ᄄ ᅥ ᄂ ᅡ ᄀ ᅵ
시작했어요	ᄉ ᅵ ᄌ ᅡ ᄏ ᅢ ᄊ ᅥ ᄋ ᅭ
떠나버리네	ᄄ ᅥ ᄂ ᅡ ᄇ ᅥ ᄅ ᅵ ᄂ ᅦ
좋아	ᄌ ᅩ ᄋ ᅡ
우물	ᄋ ᅮ ᄆ ᅮ ᆯ
주면	ᄌ ᅮ ᄆ ᅧ ᆫ
돌아올	ᄃ ᅩ ᄅ ᅡ ᄋ ᅩ ᆯ
거야	ᄀ ᅥ ᄋ ᅣ
그동안	ᄀ ᅳ ᄃ ᅩ ᆼ ᄋ ᅡ ᆫ
얼마나	ᄋ ᅥ ᆯ ᄆ ᅡ ᄂ ᅡ
많이	ᄆ ᅡ ᄂ ᅵ
모였나	ᄆ ᅩ ᄋ ᅧ ᆫ ᄂ ᅡ
볼까	ᄇ ᅩ ᆯ ᄁ ᅡ
달래	ᄃ ᅡ ᆯ ᄅ ᅢ
잔뜩	ᄌ ᅡ ᆫ ᄄ ᅳ ᆨ
기대를	ᄀ ᅵ ᄃ ᅢ ᄅ ᅳ ᆯ
하며	ᄒ ᅡ ᄆ ᅧ
열었어요	ᄋ ᅧ ᄅ ᅥ ᄊ ᅥ ᄋ ᅭ
이게	ᄋ ᅵ ᄀ ᅦ
웬일일까요	ᄋ ᅰ ᄂ ᅵ ᄅ ᅵ ᆯ ᄁ ᅡ ᄋ ᅭ
아니	ᄋ ᅡ ᄂ ᅵ
뭐야	ᄆ ᅯ ᄋ ᅣ
썩었잖아	ᄊ ᅥ ᄀ ᅥ ᆮ ᄍ ᅡ ᄂ ᅡ
게다가	ᄀ ᅦ ᄃ ᅡ ᄀ ᅡ
물의	ᄆ ᅮ ᄅ ᅴ
양도	ᄋ ᅣ ᆼ ᄃ ᅩ
예전	ᄋ ᅨ ᄌ ᅥ ᆫ
